"","titles","prices","years","transmissions","make.1","make.2"
"348","Toyota Hilux","1500000","2006 ","Automatic",Toyota,Hilux
"349","Nissan Wingroad","1350000","2012 ","Automatic",Nissan,Wingroad
"350","Toyota altis ","980000","2004 ","Automatic",Toyota,altis 
"351","Toyota Succeed",NA,"2012 ","Automatic",Toyota,Succeed
"352","Toyota Vitz","1550000","2013 ","Automatic",Toyota,Vitz
"353","Suzuki Swift","1470000","2013 ","Automatic",Suzuki,Swift
"354","Toyota Noah","680000","1998 ","Manual",Toyota,Noah
"355","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"356","Honda Stream ZS Sport Edition ","1999999","2011 ","Automatic",Honda,Stream ZS Sport Edition 
"357","Honda Stream",NA,"2009 ","Automatic",Honda,Stream
"358","Toyota Corolla E110","450000"," ","Automatic",Toyota,Corolla E110
"359","Toyota Corolla Axio","2150000","2015 ","Automatic",Toyota,Corolla Axio
"360","Toyota Reguisace","2290000","2011 ","Automatic",Toyota,Reguisace
"361","Toyota Corolla Wagon","2500000","1992 ","Automatic",Toyota,Corolla Wagon
"362","Suzuki Vitara","1050000","2006 ","Automatic",Suzuki,Vitara
"363","Toyota AURIS","2e+06","2013 ","Tiptronic",Toyota,AURIS
"364","BMW 320D","3950000","2014 ","Tiptronic",BMW,320D
"365","Toyota Mark X","2400000","2012 ","Automatic",Toyota,Mark X
"366","Toyota Noah","2950000","2014 ","Automatic",Toyota,Noah
"367","Nissan Sylphy",NA,"2013 ","Automatic",Nissan,Sylphy
"368","Suzuki Vitara","690000","2002 ","Automatic",Suzuki,Vitara
"369","Subaru  Impreza G4",NA,"2012 ","Automatic",Subaru, Impreza G4
"370","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"371","Honda Inspire","1850000","2008 ","Automatic",Honda,Inspire
"372","Suzuki swift","1480000","2015 ","Automatic",Suzuki,swift
"373","Honda Accord","3300000","2013 ","Tiptronic",Honda,Accord
"374","Suzuki Swift","720000","2007 ","Automatic",Suzuki,Swift
"375","Honda CIVIC","520000","1998 ","Automatic",Honda,CIVIC
"376","Nissan Note","1380000","2014 ","Automatic",Nissan,Note
"377","Toyota IPSUM","8e+05","2003 ","Automatic",Toyota,IPSUM
"378","Nissan Sentra","2130000","2014 ","Automatic",Nissan,Sentra
"379","BMW 325i",NA,"2013 ","Automatic",BMW,325i
"380","Toyota FIELDER X","1780000","2013 ","Automatic",Toyota,FIELDER X
"381","Suzuki Swift","750000","2008 ","Automatic",Suzuki,Swift
"382","Honda Stream",NA,"2006 ","Automatic",Honda,Stream
"383","Toyota Hiace","2800000","2011 ","Manual",Toyota,Hiace
"384","Toyota wish","2390000","2013 ","Automatic",Toyota,wish
